Year,HarvCounty,SeasonGroup,Sex,AssignedAge,Total
2022,CLARK,MUZZLE,M,Y,4
2022,CLARK,YOUTH,F,A,13
2022,CLARK,YOUTH,F,F,1
2022,CLARK,YOUTH,M,A,13
2022,CLARK,YOUTH,M,F,4
2022,CLARK,YOUTH,M,Y,13
2022,CLAY,ARCHERY,F,A,246
2022,CLAY,ARCHERY,F,F,65
2022,CLAY,ARCHERY,M,A,189
2022,CLAY,ARCHERY,M,F,62
2022,CLAY,ARCHERY,M,Y,89
2022,CLAY,FIREARM,F,A,418
2022,CLAY,FIREARM,F,F,94
2022,CLAY,FIREARM,M,A,360
2022,CLAY,FIREARM,M,F,145
2022,CLAY,FIREARM,M,Y,221
2022,CLAY,LATEWINTER,F,A,126
2022,CLAY,LATEWINTER,F,F,38
2022,CLAY,LATEWINTER,M,F,33
2022,CLAY,LATEWINTER,M,Y,3
2022,CLAY,MUZZLE,F,A,22
2022,CLAY,MUZZLE,F,F,4
2022,CLAY,MUZZLE,M,A,11
2022,CLAY,MUZZLE,M,F,1
2022,CLAY,MUZZLE,M,Y,4
2022,CLAY,YOUTH,F,A,33
2022,CLAY,YOUTH,F,F,3
2022,CLAY,YOUTH,M,A,13
2022,CLAY,YOUTH,M,F,8
2022,CLAY,YOUTH,M,Y,17
2022,CLINTON,ARCHERY,F,A,279
2022,CLINTON,ARCHERY,F,F,46
2022,CLINTON,ARCHERY,M,A,162
2022,CLINTON,ARCHERY,M,F,45
2022,CLINTON,ARCHERY,M,Y,145
2022,CLINTON,FIREARM,F,A,267
2022,CLINTON,FIREARM,F,F,52
2022,CLINTON,FIREARM,M,A,222
2022,CLINTON,FIREARM,M,F,65
2022,CLINTON,FIREARM,M,Y,200
2022,CLINTON,MUZZLE,F,A,10
2022,CLINTON,MUZZLE,M,A,2
2022,CLINTON,MUZZLE,M,F,3
2022,CLINTON,MUZZLE,M,Y,5
2022,CLINTON,YOUTH,F,A,18
2022,CLINTON,YOUTH,F,F,4
2022,CLINTON,YOUTH,M,A,2
2022,CLINTON,YOUTH,M,F,3
2022,CLINTON,YOUTH,M,Y,14
2022,COLES,ARCHERY,F,A,284
2022,COLES,ARCHERY,F,F,44
2022,COLES,ARCHERY,M,A,234
2022,COLES,ARCHERY,M,F,64
2022,COLES,ARCHERY,M,Y,123
2022,COLES,FIREARM,F,A,231
2022,COLES,FIREARM,F,F,39
2022,COLES,FIREARM,M,A,233
2022,COLES,FIREARM,M,F,74
2022,COLES,FIREARM,M,Y,119
2022,COLES,LATEWINTER,F,A,39
2022,COLES,LATEWINTER,F,F,3
2022,COLES,LATEWINTER,M,A,2
2022,COLES,LATEWINTER,M,F,7
2022,COLES,MUZZLE,F,A,13
2022,COLES,MUZZLE,F,F,5
2022,COLES,MUZZLE,M,A,7
2022,COLES,MUZZLE,M,Y,4
2022,COLES,YOUTH,F,A,8
2022,COLES,YOUTH,F,F,1
2022,COLES,YOUTH,M,A,4
2022,COLES,YOUTH,M,F,1
2022,COLES,YOUTH,M,Y,2
2022,COOK,ARCHERY,F,A,45
2022,COOK,ARCHERY,F,F,12
2022,COOK,ARCHERY,M,A,56
2022,COOK,ARCHERY,M,F,8
2022,COOK,ARCHERY,M,Y,35
2022,CRAWFORD,ARCHERY,F,A,354
2022,CRAWFORD,ARCHERY,F,F,62
2022,CRAWFORD,ARCHERY,M,A,256
2022,CRAWFORD,ARCHERY,M,F,66
2022,CRAWFORD,ARCHERY,M,Y,112
2022,CRAWFORD,FIREARM,F,A,336
2022,CRAWFORD,FIREARM,F,F,57
2022,CRAWFORD,FIREARM,M,A,326
2022,CRAWFORD,FIREARM,M,F,78
2022,CRAWFORD,FIREARM,M,Y,143
2022,CRAWFORD,LATEWINTER,F,A,83
2022,CRAWFORD,LATEWINTER,F,F,8
2022,CRAWFORD,LATEWINTER,M,A,2
2022,CRAWFORD,LATEWINTER,M,F,26
2022,CRAWFORD,LATEWINTER,M,Y,1
2022,CRAWFORD,MUZZLE,F,A,12
2022,CRAWFORD,MUZZLE,F,F,3
2022,CRAWFORD,MUZZLE,M,A,3
2022,CRAWFORD,MUZZLE,M,F,2
2022,CRAWFORD,MUZZLE,M,Y,2
2022,CRAWFORD,YOUTH,F,A,9
2022,CRAWFORD,YOUTH,F,F,2
2022,CRAWFORD,YOUTH,M,A,4
2022,CRAWFORD,YOUTH,M,F,2
2022,CRAWFORD,YOUTH,M,Y,7
2022,CUMBERLAND,ARCHERY,F,A,207
2022,CUMBERLAND,ARCHERY,F,F,40
2022,CUMBERLAND,ARCHERY,M,A,147
2022,CUMBERLAND,ARCHERY,M,F,47
2022,CUMBERLAND,ARCHERY,M,Y,75
2022,CUMBERLAND,FIREARM,F,A,294
2022,CUMBERLAND,FIREARM,F,F,55
2022,CUMBERLAND,FIREARM,M,A,271
2022,CUMBERLAND,FIREARM,M,F,87
2022,CUMBERLAND,FIREARM,M,Y,116
2022,CUMBERLAND,MUZZLE,F,A,11
2022,CUMBERLAND,MUZZLE,F,F,3
2022,CUMBERLAND,MUZZLE,M,A,5
2022,CUMBERLAND,MUZZLE,M,F,7
2022,CUMBERLAND,MUZZLE,M,Y,1
2022,CUMBERLAND,YOUTH,F,A,27
2022,CUMBERLAND,YOUTH,F,F,1
2022,CUMBERLAND,YOUTH,M,A,10
2022,CUMBERLAND,YOUTH,M,F,9
2022,CUMBERLAND,YOUTH,M,Y,9
2022,DEKALB,ARCHERY,F,A,54
2022,DEKALB,ARCHERY,F,F,13
2022,DEKALB,ARCHERY,M,A,52
2022,DEKALB,ARCHERY,M,F,23
2022,DEKALB,ARCHERY,M,Y,44
2022,DEKALB,CWD,F,A,19
2022,DEKALB,CWD,F,F,3
2022,DEKALB,CWD,M,A,2
2022,DEKALB,CWD,M,F,6
2022,DEKALB,CWD,M,Y,2
2022,DEKALB,FIREARM,F,A,26
2022,DEKALB,FIREARM,F,F,14
2022,DEKALB,FIREARM,M,A,40
2022,DEKALB,FIREARM,M,F,11
2022,DEKALB,FIREARM,M,Y,22
2022,DEKALB,YOUTH,M,A,1
2022,DEKALB,YOUTH,M,F,1
2022,DEWITT,ARCHERY,F,A,238
2022,DEWITT,ARCHERY,F,F,46
2022,DEWITT,ARCHERY,M,A,137
2022,DEWITT,ARCHERY,M,F,58
2022,DEWITT,ARCHERY,M,Y,98
2022,DEWITT,FIREARM,F,A,133
2022,DEWITT,FIREARM,F,F,19
2022,DEWITT,FIREARM,M,A,112
2022,DEWITT,FIREARM,M,F,34
2022,DEWITT,FIREARM,M,Y,44
2022,DEWITT,MUZZLE,F,A,12
2022,DEWITT,MUZZLE,F,F,1
2022,DEWITT,MUZZLE,M,F,3
2022,DEWITT,MUZZLE,M,Y,3
2022,DEWITT,YOUTH,F,A,10
2022,DEWITT,YOUTH,M,F,1
2022,DOUGLAS,ARCHERY,F,A,83
2022,DOUGLAS,ARCHERY,F,F,11
2022,DOUGLAS,ARCHERY,M,A,62
2022,DOUGLAS,ARCHERY,M,F,24
2022,DOUGLAS,ARCHERY,M,Y,38
2022,DOUGLAS,FIREARM,F,A,53
2022,DOUGLAS,FIREARM,F,F,10
2022,DOUGLAS,FIREARM,M,A,64
2022,DOUGLAS,FIREARM,M,F,19
2022,DOUGLAS,FIREARM,M,Y,31
2022,DOUGLAS,MUZZLE,F,A,1
2022,DOUGLAS,MUZZLE,F,F,1
2022,DOUGLAS,MUZZLE,M,A,1
2022,DOUGLAS,MUZZLE,M,F,1
2022,DOUGLAS,YOUTH,F,A,3
2022,DOUGLAS,YOUTH,F,F,1
2022,DOUGLAS,YOUTH,M,A,1
2022,DOUGLAS,YOUTH,M,F,1
2022,DUPAGE,ARCHERY,F,A,7
2022,DUPAGE,ARCHERY,F,F,4
2022,DUPAGE,ARCHERY,M,A,11
2022,DUPAGE,ARCHERY,M,F,2
2022,DUPAGE,ARCHERY,M,Y,10
2022,EDGAR,ARCHERY,F,A,200
2022,EDGAR,ARCHERY,F,F,25
2022,EDGAR,ARCHERY,M,A,181
2022,EDGAR,ARCHERY,M,F,34
2022,EDGAR,ARCHERY,M,Y,86
2022,EDGAR,FIREARM,F,A,198
2022,EDGAR,FIREARM,F,F,25
2022,EDGAR,FIREARM,M,A,239
2022,EDGAR,FIREARM,M,F,54
2022,EDGAR,FIREARM,M,Y,75
2022,EDGAR,MUZZLE,F,A,13
2022,EDGAR,MUZZLE,M,A,5
2022,EDGAR,MUZZLE,M,F,3
2022,EDGAR,MUZZLE,M,Y,3
2022,EDGAR,YOUTH,F,A,7
2022,EDGAR,YOUTH,F,F,1
2022,EDGAR,YOUTH,M,A,7
2022,EDGAR,YOUTH,M,F,1
2022,EDGAR,YOUTH,M,Y,7
2022,EDWARDS,ARCHERY,F,A,128
2022,EDWARDS,ARCHERY,F,F,16
2022,EDWARDS,ARCHERY,M,A,85
2022,EDWARDS,ARCHERY,M,F,24
2022,EDWARDS,ARCHERY,M,Y,42
2022,EDWARDS,FIREARM,F,A,137
2022,EDWARDS,FIREARM,F,F,30
2022,EDWARDS,FIREARM,M,A,184
2022,EDWARDS,FIREARM,M,F,27
2022,EDWARDS,FIREARM,M,Y,86
2022,EDWARDS,MUZZLE,F,A,8
2022,EDWARDS,MUZZLE,F,F,1
2022,EDWARDS,MUZZLE,M,A,3
2022,EDWARDS,MUZZLE,M,Y,4
2022,EDWARDS,YOUTH,F,A,2
2022,EDWARDS,YOUTH,F,F,1
2022,EDWARDS,YOUTH,M,A,4
2022,EDWARDS,YOUTH,M,F,3
2022,EFFINGHAM,ARCHERY,F,A,271
2022,EFFINGHAM,ARCHERY,F,F,62
2022,EFFINGHAM,ARCHERY,M,A,124
2022,EFFINGHAM,ARCHERY,M,F,60
2022,EFFINGHAM,ARCHERY,M,Y,95
2022,EFFINGHAM,FIREARM,F,A,319
2022,EFFINGHAM,FIREARM,F,F,80
2022,EFFINGHAM,FIREARM,M,A,270
2022,EFFINGHAM,FIREARM,M,F,99
2022,EFFINGHAM,FIREARM,M,Y,197
2022,EFFINGHAM,LATEWINTER,F,A,75
2022,EFFINGHAM,LATEWINTER,F,F,27
2022,EFFINGHAM,LATEWINTER,M,F,26
2022,EFFINGHAM,MUZZLE,F,A,15
2022,EFFINGHAM,MUZZLE,F,F,6
2022,EFFINGHAM,MUZZLE,M,A,6
2022,EFFINGHAM,MUZZLE,M,F,4
2022,EFFINGHAM,MUZZLE,M,Y,3
2022,EFFINGHAM,YOUTH,F,A,46
2022,EFFINGHAM,YOUTH,F,F,9
2022,EFFINGHAM,YOUTH,M,A,11
2022,EFFINGHAM,YOUTH,M,F,15
2022,EFFINGHAM,YOUTH,M,Y,18
2022,FAYETTE,ARCHERY,F,A,464
2022,FAYETTE,ARCHERY,F,F,97
2022,FAYETTE,ARCHERY,M,A,283
2022,FAYETTE,ARCHERY,M,F,109
2022,FAYETTE,ARCHERY,M,Y,191
2022,FAYETTE,FIREARM,F,A,579
2022,FAYETTE,FIREARM,F,F,158
2022,FAYETTE,FIREARM,M,A,501
2022,FAYETTE,FIREARM,M,F,185
2022,FAYETTE,FIREARM,M,Y,303
2022,FAYETTE,MUZZLE,F,A,22
2022,FAYETTE,MUZZLE,F,F,3
2022,FAYETTE,MUZZLE,M,A,15
2022,FAYETTE,MUZZLE,M,F,7
2022,FAYETTE,MUZZLE,M,Y,8
2022,FAYETTE,YOUTH,F,A,30
2022,FAYETTE,YOUTH,F,F,5
2022,FAYETTE,YOUTH,M,A,15
2022,FAYETTE,YOUTH,M,F,14
2022,FAYETTE,YOUTH,M,Y,9
2022,FORD,ARCHERY,F,A,17
2022,FORD,ARCHERY,F,F,3
2022,FORD,ARCHERY,M,A,29
2022,FORD,ARCHERY,M,F,3
2022,FORD,ARCHERY,M,Y,15
2022,FORD,FIREARM,F,A,27
2022,FORD,FIREARM,F,F,7
2022,FORD,FIREARM,M,A,62
2022,FORD,FIREARM,M,F,6
2022,FORD,FIREARM,M,Y,25
2022,FORD,MUZZLE,F,A,2
2022,FORD,MUZZLE,M,A,4
2022,FORD,MUZZLE,M,Y,1
2022,FORD,YOUTH,M,Y,3
2022,FRANKLIN,ARCHERY,F,A,592
2022,FRANKLIN,ARCHERY,F,F,79
2022,FRANKLIN,ARCHERY,M,A,261
2022,FRANKLIN,ARCHERY,M,F,89
2022,FRANKLIN,ARCHERY,M,Y,156
2022,FRANKLIN,FIREARM,F,A,540
2022,FRANKLIN,FIREARM,F,F,82
2022,FRANKLIN,FIREARM,M,A,408
2022,FRANKLIN,FIREARM,M,F,139
2022,FRANKLIN,FIREARM,M,Y,255
2022,FRANKLIN,MUZZLE,F,A,17
2022,FRANKLIN,MUZZLE,F,F,3
2022,FRANKLIN,MUZZLE,M,A,15
2022,FRANKLIN,MUZZLE,M,F,5
2022,FRANKLIN,MUZZLE,M,Y,9
2022,FRANKLIN,YOUTH,F,A,8
2022,FRANKLIN,YOUTH,F,F,3
2022,FRANKLIN,YOUTH,M,A,6
2022,FRANKLIN,YOUTH,M,F,3
2022,FRANKLIN,YOUTH,M,Y,7
2022,FULTON,ARCHERY,F,A,577
2022,FULTON,ARCHERY,F,F,82
2022,FULTON,ARCHERY,M,A,582
2022,FULTON,ARCHERY,M,F,96
2022,FULTON,ARCHERY,M,Y,208
2022,FULTON,FIREARM,F,A,661
2022,FULTON,FIREARM,F,F,112
2022,FULTON,FIREARM,M,A,611
2022,FULTON,FIREARM,M,F,174
2022,FULTON,FIREARM,M,Y,294
2022,FULTON,LATEWINTER,F,A,227
2022,FULTON,LATEWINTER,F,F,58
2022,FULTON,LATEWINTER,M,A,6
2022,FULTON,LATEWINTER,M,F,48
2022,FULTON,LATEWINTER,M,Y,2
2022,FULTON,MUZZLE,F,A,28
2022,FULTON,MUZZLE,F,F,1
2022,FULTON,MUZZLE,M,A,26
2022,FULTON,MUZZLE,M,F,4
2022,FULTON,MUZZLE,M,Y,6
2022,FULTON,YOUTH,F,A,44
2022,FULTON,YOUTH,F,F,4
2022,FULTON,YOUTH,M,A,13
2022,FULTON,YOUTH,M,F,6
2022,FULTON,YOUTH,M,Y,23
2022,GALLATIN,ARCHERY,F,A,129
2022,GALLATIN,ARCHERY,F,F,13
2022,GALLATIN,ARCHERY,M,A,116
2022,GALLATIN,ARCHERY,M,F,20
2022,GALLATIN,ARCHERY,M,Y,48
2022,GALLATIN,FIREARM,F,A,150
2022,GALLATIN,FIREARM,F,F,24
2022,GALLATIN,FIREARM,M,A,168
2022,GALLATIN,FIREARM,M,F,27
2022,GALLATIN,FIREARM,M,Y,81
2022,GALLATIN,MUZZLE,F,A,2
2022,GALLATIN,MUZZLE,F,F,1
2022,GALLATIN,MUZZLE,M,A,3
2022,GALLATIN,YOUTH,F,A,5
2022,GALLATIN,YOUTH,M,A,7
2022,GALLATIN,YOUTH,M,Y,3
2022,GREENE,ARCHERY,F,A,393
2022,GREENE,ARCHERY,F,F,57
2022,GREENE,ARCHERY,M,A,275
2022,GREENE,ARCHERY,M,F,75
2022,GREENE,ARCHERY,M,Y,100
2022,GREENE,FIREARM,F,A,366
2022,GREENE,FIREARM,F,F,89
2022,GREENE,FIREARM,M,A,325
2022,GREENE,FIREARM,M,F,107
2022,GREENE,FIREARM,M,Y,135
2022,GREENE,MUZZLE,F,A,24
2022,GREENE,MUZZLE,F,F,3
2022,GREENE,MUZZLE,M,A,4
2022,GREENE,MUZZLE,M,F,5
2022,GREENE,MUZZLE,M,Y,1
2022,GREENE,YOUTH,F,A,20
2022,GREENE,YOUTH,F,F,6
2022,GREENE,YOUTH,M,A,13
2022,GREENE,YOUTH,M,F,5
2022,GREENE,YOUTH,M,Y,9
2022,GRUNDY,ARCHERY,F,A,137
2022,GRUNDY,ARCHERY,F,F,23
2022,GRUNDY,ARCHERY,M,A,113
2022,GRUNDY,ARCHERY,M,F,23
2022,GRUNDY,ARCHERY,M,Y,75
2022,GRUNDY,CWD,F,A,41
2022,GRUNDY,CWD,F,F,6
2022,GRUNDY,CWD,M,A,15
2022,GRUNDY,CWD,M,F,11
2022,GRUNDY,CWD,M,Y,7
2022,GRUNDY,FIREARM,F,A,82
2022,GRUNDY,FIREARM,F,F,28
2022,GRUNDY,FIREARM,M,A,92
2022,GRUNDY,FIREARM,M,F,30
2022,GRUNDY,FIREARM,M,Y,38
2022,GRUNDY,MUZZLE,F,A,5
2022,GRUNDY,MUZZLE,F,F,1
2022,GRUNDY,MUZZLE,M,A,2
2022,GRUNDY,MUZZLE,M,Y,3
2022,GRUNDY,YOUTH,F,A,1
2022,GRUNDY,YOUTH,M,A,1
2022,GRUNDY,YOUTH,M,F,1
2022,GRUNDY,YOUTH,M,Y,1
2022,HAMILTON,ARCHERY,F,A,431
2022,HAMILTON,ARCHERY,F,F,55
2022,HAMILTON,ARCHERY,M,A,255
2022,HAMILTON,ARCHERY,M,F,54
2022,HAMILTON,ARCHERY,M,Y,113
2022,HAMILTON,FIREARM,F,A,339
2022,HAMILTON,FIREARM,F,F,49
2022,HAMILTON,FIREARM,M,A,429
2022,HAMILTON,FIREARM,M,F,70
2022,HAMILTON,FIREARM,M,Y,198
2022,HAMILTON,LATEWINTER,F,A,131
2022,HAMILTON,LATEWINTER,F,F,22
2022,HAMILTON,LATEWINTER,M,A,3
2022,HAMILTON,LATEWINTER,M,F,21
2022,HAMILTON,LATEWINTER,M,Y,1
2022,HAMILTON,MUZZLE,F,A,12
