"long","lat","group","order","region","subregion"
-89.9887542724609,39.9007797241211,569,22065,"illinois","CASS"
-89.9944839477539,39.8664054870605,569,22066,"illinois","CASS"
-90.5846252441406,39.8664054870605,569,22067,"illinois","CASS"
-90.5846252441406,39.8835906982422,569,22068,"illinois","CASS"
-90.5445175170898,39.9294281005859,569,22069,"illinois","CASS"
-90.5273361206055,39.9638061523438,569,22070,"illinois","CASS"
-90.510139465332,39.9867248535156,569,22071,"illinois","CASS"
-88.4646835327148,40.2789344787598,570,22073,"illinois","CHAMPAIGN"
-88.4589538574219,40.3877983093262,570,22074,"illinois","CHAMPAIGN"
-88.0120468139648,40.3935241699219,570,22075,"illinois","CHAMPAIGN"
-88.0063171386719,40.376335144043,570,22076,"illinois","CHAMPAIGN"
-87.9318313598633,40.37060546875,570,22077,"illinois","CHAMPAIGN"
-87.9318313598633,40.2216377258301,570,22078,"illinois","CHAMPAIGN"
-87.9432907104492,40.2216377258301,570,22079,"illinois","CHAMPAIGN"
-87.9432907104492,39.8721351623535,570,22080,"illinois","CHAMPAIGN"
-88.4704132080078,39.8721351623535,570,22081,"illinois","CHAMPAIGN"
-88.4761428833008,40.2101783752441,570,22082,"illinois","CHAMPAIGN"
-88.4646835327148,40.2159080505371,570,22083,"illinois","CHAMPAIGN"
-88.4646835327148,40.2789344787598,570,22084,"illinois","CHAMPAIGN"
-89.0261840820312,39.6544075012207,571,22086,"illinois","CHRISTIAN"
-89.0319137573242,39.3507423400879,571,22087,"illinois","CHRISTIAN"
-89.1407699584961,39.3507423400879,571,22088,"illinois","CHRISTIAN"
-89.5361175537109,39.3507423400879,571,22089,"illinois","CHRISTIAN"
-89.5418472290039,39.5226287841797,571,22090,"illinois","CHRISTIAN"
-89.5418472290039,39.6372184753418,571,22091,"illinois","CHRISTIAN"
-89.4788208007812,39.6372184753418,571,22092,"illinois","CHRISTIAN"
-89.4788208007812,39.6830558776855,571,22093,"illinois","CHRISTIAN"
-89.4272537231445,39.6830558776855,571,22094,"illinois","CHRISTIAN"
-89.4215240478516,39.7575416564941,571,22095,"illinois","CHRISTIAN"
-89.3871459960938,39.7460823059082,571,22096,"illinois","CHRISTIAN"
-89.3584976196289,39.7575416564941,571,22097,"illinois","CHRISTIAN"
-89.3126602172852,39.7690010070801,571,22098,"illinois","CHRISTIAN"
-89.2782821655273,39.7976493835449,571,22099,"illinois","CHRISTIAN"
-89.2782821655273,39.8091087341309,571,22100,"illinois","CHRISTIAN"
-89.25537109375,39.8148345947266,571,22101,"illinois","CHRISTIAN"
-89.2381744384766,39.8262977600098,571,22102,"illinois","CHRISTIAN"
-89.2209854125977,39.8262977600098,571,22103,"illinois","CHRISTIAN"
-89.1808776855469,39.7976493835449,571,22104,"illinois","CHRISTIAN"
-89.1464996337891,39.791919708252,571,22105,"illinois","CHRISTIAN"
-89.1407699584961,39.780460357666,571,22106,"illinois","CHRISTIAN"
-89.1407699584961,39.6544075012207,571,22107,"illinois","CHRISTIAN"
-89.0261840820312,39.6544075012207,571,22108,"illinois","CHRISTIAN"
-88.0177764892578,39.1731262207031,572,22110,"illinois","CLARK"
-88.0177764892578,39.3793907165527,572,22111,"illinois","CLARK"
-88.0177764892578,39.4825248718262,572,22112,"illinois","CLARK"
-87.9719390869141,39.4825248718262,572,22113,"illinois","CLARK"
-87.7026443481445,39.4882507324219,572,22114,"illinois","CLARK"
-87.6969146728516,39.471061706543,572,22115,"illinois","CLARK"
-87.536491394043,39.471061706543,572,22116,"illinois","CLARK"
-87.536491394043,39.3564720153809,572,22117,"illinois","CLARK"
-87.5823287963867,39.333553314209,572,22118,"illinois","CLARK"
-87.610969543457,39.3049049377441,572,22119,"illinois","CLARK"
-87.6052474975586,39.2819862365723,572,22120,"illinois","CLARK"
-87.6052474975586,39.2647972106934,572,22121,"illinois","CLARK"
-87.5937881469727,39.2476081848145,572,22122,"illinois","CLARK"
-87.5937881469727,39.2246894836426,572,22123,"illinois","CLARK"
-87.610969543457,39.190315246582,572,22124,"illinois","CLARK"
-87.6338958740234,39.1731262207031,572,22125,"illinois","CLARK"
-87.7599487304688,39.1673965454102,572,22126,"illinois","CLARK"
-87.7599487304688,39.1788520812988,572,22127,"illinois","CLARK"
-87.9547500610352,39.1731262207031,572,22128,"illinois","CLARK"
-88.0177764892578,39.1731262207031,572,22129,"illinois","CLARK"
-88.2526931762695,38.5944366455078,573,22131,"illinois","CLAY"
-88.7053298950195,38.5944366455078,573,22132,"illinois","CLAY"
-88.699592590332,38.8293495178223,573,22133,"illinois","CLAY"
-88.699592590332,38.9095611572266,573,22134,"illinois","CLAY"
-88.3672790527344,38.9152946472168,573,22135,"illinois","CLAY"
-88.3672790527344,38.8579978942871,573,22136,"illinois","CLAY"
-88.2698745727539,38.8522682189941,573,22137,"illinois","CLAY"
-88.2698745727539,38.7204895019531,573,22138,"illinois","CLAY"
-88.2870635986328,38.7204895019531,573,22139,"illinois","CLAY"
-88.2870635986328,38.703296661377,573,22140,"illinois","CLAY"
-88.2813339233398,38.6803817749023,573,22141,"illinois","CLAY"
-88.2813339233398,38.6689224243164,573,22142,"illinois","CLAY"
-88.2985305786133,38.6460037231445,573,22143,"illinois","CLAY"
-88.2985305786133,38.6288146972656,573,22144,"illinois","CLAY"
-88.2985305786133,38.6173553466797,573,22145,"illinois","CLAY"
-88.2813339233398,38.6173553466797,573,22146,"illinois","CLAY"
-88.2756042480469,38.6116256713867,573,22147,"illinois","CLAY"
-88.2584228515625,38.6058959960938,573,22148,"illinois","CLAY"
-88.2526931762695,38.5944366455078,573,22149,"illinois","CLAY"
-89.7080078125,38.4110908508301,574,22151,"illinois","CLINTON"
-89.7080078125,38.6517333984375,574,22152,"illinois","CLINTON"
-89.5991363525391,38.6517333984375,574,22153,"illinois","CLINTON"
-89.5934066772461,38.737678527832,574,22154,"illinois","CLINTON"
-89.2782821655273,38.7319450378418,574,22155,"illinois","CLINTON"
-89.1464996337891,38.7319450378418,574,22156,"illinois","CLINTON"
-89.1464996337891,38.4970321655273,574,22157,"illinois","CLINTON"
-89.2439041137695,38.5027618408203,574,22158,"illinois","CLINTON"
-89.3298492431641,38.5142250061035,574,22159,"illinois","CLINTON"
-89.34130859375,38.5084953308105,574,22160,"illinois","CLINTON"
-89.3756866455078,38.4855766296387,574,22161,"illinois","CLINTON"
-89.4043350219727,38.4855766296387,574,22162,"illinois","CLINTON"
-89.4157943725586,38.4855766296387,574,22163,"illinois","CLINTON"
-89.4673538208008,38.4798431396484,574,22164,"illinois","CLINTON"
-89.5074615478516,38.4798431396484,574,22165,"illinois","CLINTON"
-89.5418472290039,38.4741172790527,574,22166,"illinois","CLINTON"
-89.5704956054688,38.4855766296387,574,22167,"illinois","CLINTON"
-89.604866027832,38.4741172790527,574,22168,"illinois","CLINTON"
-89.6163330078125,38.4683876037598,574,22169,"illinois","CLINTON"
-89.6220626831055,38.4511985778809,574,22170,"illinois","CLINTON"
-89.6335144042969,38.4454689025879,574,22171,"illinois","CLINTON"
-89.6564407348633,38.4397392272949,574,22172,"illinois","CLINTON"
-89.7080078125,38.4110908508301,574,22173,"illinois","CLINTON"
-87.9719390869141,39.6830558776855,575,22175,"illinois","COLES"
-87.9719390869141,39.4825248718262,575,22176,"illinois","COLES"
-88.0177764892578,39.4825248718262,575,22177,"illinois","COLES"
-88.0177764892578,39.3793907165527,575,22178,"illinois","COLES"
-88.4761428833008,39.3736610412598,575,22179,"illinois","COLES"
-88.4761428833008,39.4424133300781,575,22180,"illinois","COLES"
-88.4761428833008,39.642951965332,575,22181,"illinois","COLES"
-88.0693435668945,39.6544075012207,575,22182,"illinois","COLES"
-88.0693435668945,39.6830558776855,575,22183,"illinois","COLES"
-87.9719390869141,39.6830558776855,575,22184,"illinois","COLES"
-88.2068557739258,42.1582374572754,576,22186,"illinois","COOK"
-87.7714080810547,42.1582374572754,576,22187,"illinois","COOK"
-87.7427520751953,42.1238555908203,576,22188,"illinois","COOK"
-87.6740036010742,42.0665626525879,576,22189,"illinois","COOK"
-87.6625442504883,42.043643951416,576,22190,"illinois","COOK"
-87.6396255493164,41.9978065490723,576,22191,"illinois","COOK"
-87.6281661987305,41.9405097961426,576,22192,"illinois","COOK"
-87.6052474975586,41.854564666748,576,22193,"illinois","COOK"
-87.5823287963867,41.7800827026367,576,22194,"illinois","COOK"
-87.5536804199219,41.7514343261719,576,22195,"illinois","COOK"
-87.53076171875,41.7399749755859,576,22196,"illinois","COOK"
-87.525032043457,41.4649543762207,576,22197,"illinois","COOK"
-87.794319152832,41.4649543762207,576,22198,"illinois","COOK"
-87.794319152832,41.5508995056152,576,22199,"illinois","COOK"
-87.9146423339844,41.5623550415039,576,22200,"illinois","COOK"
-87.9203720092773,41.6425743103027,576,22201,"illinois","COOK"
-88.0349655151367,41.6425743103027,576,22202,"illinois","COOK"
-88.0349655151367,41.6654891967773,576,22203,"illinois","COOK"
-87.9948577880859,41.6654891967773,576,22204,"illinois","COOK"
-87.977668762207,41.6654891967773,576,22205,"illinois","COOK"
-87.9490203857422,41.7170562744141,576,22206,"illinois","COOK"
-87.9261016845703,41.722785949707,576,22207,"illinois","COOK"
-87.9261016845703,41.9920768737793,576,22208,"illinois","COOK"
-88.2756042480469,41.9863471984863,576,22209,"illinois","COOK"
-88.2698745727539,42.0665626525879,576,22210,"illinois","COOK"
-88.246955871582,42.0837478637695,576,22211,"illinois","COOK"
-88.246955871582,42.1582374572754,576,22212,"illinois","COOK"
-88.2068557739258,42.1582374572754,576,22213,"illinois","COOK"
-87.536491394043,38.9095611572266,577,22215,"illinois","CRAWFORD"
-87.5479507446289,38.8522682189941,577,22216,"illinois","CRAWFORD"
-87.9146423339844,38.8522682189941,577,22217,"illinois","CRAWFORD"
-87.9547500610352,38.8522682189941,577,22218,"illinois","CRAWFORD"
-87.9547500610352,39.1731262207031,577,22219,"illinois","CRAWFORD"
-87.7599487304688,39.1788520812988,577,22220,"illinois","CRAWFORD"
-87.7599487304688,39.1673965454102,577,22221,"illinois","CRAWFORD"
-87.6338958740234,39.1731262207031,577,22222,"illinois","CRAWFORD"
-87.6740036010742,39.1444778442383,577,22223,"illinois","CRAWFORD"
-87.6568069458008,39.1215591430664,577,22224,"illinois","CRAWFORD"
-87.5937881469727,39.0814514160156,577,22225,"illinois","CRAWFORD"
-87.5765991210938,39.0642623901367,577,22226,"illinois","CRAWFORD"
-87.5708694458008,39.0012359619141,577,22227,"illinois","CRAWFORD"
-87.53076171875,38.9725875854492,577,22228,"illinois","CRAWFORD"
-87.525032043457,38.9496688842773,577,22229,"illinois","CRAWFORD"
-87.536491394043,38.9095611572266,577,22230,"illinois","CRAWFORD"
-88.0177764892578,39.3793907165527,578,22232,"illinois","CUMBERLAND"
-88.0177764892578,39.1731262207031,578,22233,"illinois","CUMBERLAND"
-88.3672790527344,39.1731262207031,578,22234,"illinois","CUMBERLAND"
-88.4761428833008,39.1731262207031,578,22235,"illinois","CUMBERLAND"
-88.4761428833008,39.2132339477539,578,22236,"illinois","CUMBERLAND"
-88.4761428833008,39.3736610412598,578,22237,"illinois","CUMBERLAND"
-88.0177764892578,39.3793907165527,578,22238,"illinois","CUMBERLAND"
-88.9402389526367,42.1582374572754,579,22240,"illinois","DEKALB"
-88.7053298950195,42.1582374572754,579,22241,"illinois","DEKALB"
-88.5792770385742,42.1582374572754,579,22242,"illinois","DEKALB"
-88.5792770385742,42.0665626525879,579,22243,"illinois","DEKALB"
-88.5907363891602,42.0665626525879,579,22244,"illinois","DEKALB"
-88.5907363891602,41.722785949707,579,22245,"illinois","DEKALB"
-88.5964660644531,41.6311111450195,579,22246,"illinois","DEKALB"
-88.9173202514648,41.6311111450195,579,22247,"illinois","DEKALB"
-88.9230499267578,41.7170562744141,579,22248,"illinois","DEKALB"
-88.9402389526367,41.7170562744141,579,22249,"illinois","DEKALB"
-88.9459686279297,41.8946723937988,579,22250,"illinois","DEKALB"
-88.9402389526367,42.0665626525879,579,22251,"illinois","DEKALB"
-88.9402389526367,42.1582374572754,579,22252,"illinois","DEKALB"
-89.1407699584961,40.0497512817383,580,22254,"illinois","DEWITT"
-89.1407699584961,40.2789344787598,580,22255,"illinois","DEWITT"
-88.5792770385742,40.2789344787598,580,22256,"illinois","DEWITT"
-88.6881332397461,40.1414260864258,580,22257,"illinois","DEWITT"
-88.6824035644531,40.1070442199707,580,22258,"illinois","DEWITT"
-88.6881332397461,40.0898551940918,580,22259,"illinois","DEWITT"
-88.7397003173828,40.095588684082,580,22260,"illinois","DEWITT"
-88.7397003173828,40.0554809570312,580,22261,"illinois","DEWITT"
-89.1407699584961,40.0497512817383,580,22262,"illinois","DEWITT"
-87.9432907104492,39.8721351623535,581,22264,"illinois","DOUGLAS"
-87.9375686645508,39.7976493835449,581,22265,"illinois","DOUGLAS"
-87.9547500610352,39.7976493835449,581,22266,"illinois","DOUGLAS"
-87.9719390869141,39.6830558776855,581,22267,"illinois","DOUGLAS"
-88.0693435668945,39.6830558776855,581,22268,"illinois","DOUGLAS"
-88.0693435668945,39.6544075012207,581,22269,"illinois","DOUGLAS"
-88.4761428833008,39.642951965332,581,22270,"illinois","DOUGLAS"
-88.4761428833008,39.791919708252,581,22271,"illinois","DOUGLAS"
-88.4704132080078,39.8721351623535,581,22272,"illinois","DOUGLAS"
-87.9432907104492,39.8721351623535,581,22273,"illinois","DOUGLAS"
-88.2756042480469,41.9863471984863,582,22275,"illinois","DUPAGE"
-87.9261016845703,41.9920768737793,582,22276,"illinois","DUPAGE"
-87.9261016845703,41.722785949707,582,22277,"illinois","DUPAGE"
-87.9490203857422,41.7170562744141,582,22278,"illinois","DUPAGE"
-87.977668762207,41.6654891967773,582,22279,"illinois","DUPAGE"
-87.9948577880859,41.6654891967773,582,22280,"illinois","DUPAGE"
-88.0349655151367,41.6654891967773,582,22281,"illinois","DUPAGE"
-88.0292358398438,41.722785949707,582,22282,"illinois","DUPAGE"
-88.2756042480469,41.722785949707,582,22283,"illinois","DUPAGE"
-88.2756042480469,41.9863471984863,582,22284,"illinois","DUPAGE"
-87.53076171875,39.608570098877,583,22286,"illinois","EDGAR"
-87.536491394043,39.471061706543,583,22287,"illinois","EDGAR"
-87.6969146728516,39.471061706543,583,22288,"illinois","EDGAR"
-87.7026443481445,39.4882507324219,583,22289,"illinois","EDGAR"
-87.9719390869141,39.4825248718262,583,22290,"illinois","EDGAR"
-87.9719390869141,39.6830558776855,583,22291,"illinois","EDGAR"
-87.9547500610352,39.7976493835449,583,22292,"illinois","EDGAR"
-87.9375686645508,39.7976493835449,583,22293,"illinois","EDGAR"
-87.9432907104492,39.8721351623535,583,22294,"illinois","EDGAR"
-87.6281661987305,39.8721351623535,583,22295,"illinois","EDGAR"
-87.6224365234375,39.8664054870605,583,22296,"illinois","EDGAR"
-87.536491394043,39.8664054870605,583,22297,"illinois","EDGAR"
-87.53076171875,39.608570098877,583,22298,"illinois","EDGAR"
-88.1552810668945,38.250659942627,584,22300,"illinois","EDWARDS"
-88.161018371582,38.565788269043,584,22301,"illinois","EDWARDS"
-87.9547500610352,38.565788269043,584,22302,"illinois","EDWARDS"
-87.9490203857422,38.5371398925781,584,22303,"illinois","EDWARDS"
-87.9490203857422,38.5199508666992,584,22304,"illinois","EDWARDS"
-87.9547500610352,38.5084953308105,584,22305,"illinois","EDWARDS"
-87.9490203857422,38.4741172790527,584,22306,"illinois","EDWARDS"
-87.9490203857422,38.4511985778809,584,22307,"illinois","EDWARDS"
-87.9490203857422,38.416820526123,584,22308,"illinois","EDWARDS"
-87.9662094116211,38.3652534484863,584,22309,"illinois","EDWARDS"
-87.9547500610352,38.3423347473145,584,22310,"illinois","EDWARDS"
-87.9432907104492,38.2964973449707,584,22311,"illinois","EDWARDS"
-87.9432907104492,38.2563934326172,584,22312,"illinois","EDWARDS"
-87.9719390869141,38.2392044067383,584,22313,"illinois","EDWARDS"
-88.0235061645508,38.250659942627,584,22314,"illinois","EDWARDS"
